iter	Passed	Remaining
0	3	308
1	5	270
2	7	257
3	11	286
4	14	272
5	17	275
6	20	269
7	22	261
8	25	254
9	27	248
10	30	243
11	32	238
12	35	235
13	37	230
14	39	225
15	42	224
16	45	220
17	48	218
18	56	239
19	69	276
20	80	301
21	89	315
22	97	327
23	107	339
24	118	355
25	127	361
26	136	367
27	143	367
28	146	358
29	149	348
30	151	337
31	154	327
32	157	319
33	160	311
34	165	306
35	168	299
36	171	291
37	173	283
38	176	276
39	179	268
40	181	261
41	184	255
42	187	248
43	189	241
44	193	236
45	196	230
46	198	224
47	201	218
48	203	212
49	208	208
50	210	202
51	213	196
52	215	191
53	218	185
54	220	180
55	222	175
56	225	169
57	227	165
58	230	159
59	232	155
60	235	150
61	238	145
62	240	141
63	243	136
64	245	132
65	248	127
66	250	123
67	253	119
68	255	114
69	258	110
70	260	106
71	263	102
72	266	98
73	268	94
74	271	90
75	273	86
76	276	82
77	278	78
78	281	74
79	283	70
80	286	67
81	288	63
82	291	59
83	293	55
84	296	52
85	298	48
86	301	45
87	303	41
88	306	37
89	309	34
90	311	30
91	313	27
92	316	23
93	319	20
94	321	16
95	324	13
96	326	10
97	329	6
98	332	3
99	334	0
